,Period of Holding
2340,14 days 00:00:00.000000000
2341,32 days 00:00:00.000000000
2342,7 days 00:00:00.000000000
2343,32 days 00:00:00.000000000
2344,35 days 00:00:00.000000000
2345,28 days 00:00:00.000000000
2346,28 days 00:00:00.000000000
2347,28 days 00:00:00.000000000
2348,14 days 00:00:00.000000000
2349,1 days 00:00:00.000000000
2350,9 days 00:00:00.000000000
2351,1 days 00:00:00.000000000
2352,8 days 00:00:00.000000000
2353,8 days 00:00:00.000000000
2354,30 days 00:00:00.000000000
2355,33 days 00:00:00.000000000
2356,1 days 00:00:00.000000000
2357,29 days 00:00:00.000000000
2358,64 days 00:00:00.000000000
2359,33 days 00:00:00.000000000
2360,8 days 00:00:00.000000000
2361,41 days 00:00:00.000000000
2362,25 days 00:00:00.000000000
2363,1 days 00:00:00.000000000
2364,2 days 00:00:00.000000000
2365,2 days 00:00:00.000000000
2366,7 days 00:00:00.000000000
2367,7 days 00:00:00.000000000
2368,7 days 00:00:00.000000000
2369,28 days 00:00:00.000000000
2370,32 days 00:00:00.000000000
2371,30 days 00:00:00.000000000
2372,1 days 00:00:00.000000000
2373,27 days 00:00:00.000000000
2374,28 days 00:00:00.000000000
2375,9 days 00:00:00.000000000
2376,28 days 00:00:00.000000000
2377,28 days 00:00:00.000000000
2378,8 days 00:00:00.000000000
2379,6 days 00:00:00.000000000
2380,1 days 00:00:00.000000000
2381,7 days 00:00:00.000000000
2382,31 days 00:00:00.000000000
2383,3 days 00:00:00.000000000
2384,7 days 00:00:00.000000000
2385,30 days 00:00:00.000000000
2386,30 days 00:00:00.000000000
2387,30 days 00:00:00.000000000
2388,28 days 00:00:00.000000000
2389,21 days 00:00:00.000000000
2390,28 days 00:00:00.000000000
2391,1 days 00:00:00.000000000
2392,9 days 00:00:00.000000000
2393,7 days 00:00:00.000000000
2394,1 days 00:00:00.000000000
2395,1 days 00:00:00.000000000
2396,34 days 00:00:00.000000000
2397,8 days 00:00:00.000000000
2398,8 days 00:00:00.000000000
2399,8 days 00:00:00.000000000
2400,8 days 00:00:00.000000000
2401,8 days 00:00:00.000000000
2402,3 days 00:00:00.000000000
2403,27 days 00:00:00.000000000
2404,30 days 00:00:00.000000000
2405,37 days 00:00:00.000000000
2406,37 days 00:00:00.000000000
2407,8 days 00:00:00.000000000
2408,63 days 00:00:00.000000000
2409,63 days 00:00:00.000000000
2410,7 days 00:00:00.000000000
2411,7 days 00:00:00.000000000
2412,7 days 00:00:00.000000000
2413,7 days 00:00:00.000000000
2414,7 days 00:00:00.000000000
2415,3 days 00:00:00.000000000
2416,35 days 00:00:00.000000000
2417,35 days 00:00:00.000000000
2418,23 days 00:00:00.000000000
2419,23 days 00:00:00.000000000
2420,1 days 00:00:00.000000000
2421,36 days 00:00:00.000000000
2422,9 days 00:00:00.000000000
2423,36 days 00:00:00.000000000
2424,36 days 00:00:00.000000000
2425,1 days 00:00:00.000000000
2426,7 days 00:00:00.000000000
2427,1 days 00:00:00.000000000
2428,12 days 00:00:00.000000000
2429,36 days 00:00:00.000000000
2430,1 days 00:00:00.000000000
2431,34 days 00:00:00.000000000
2432,11 days 00:00:00.000000000
2433,10 days 00:00:00.000000000
2434,10 days 00:00:00.000000000
2435,39 days 00:00:00.000000000
2436,7 days 00:00:00.000000000
2437,7 days 00:00:00.000000000
2438,35 days 00:00:00.000000000
2439,35 days 00:00:00.000000000
2440,35 days 00:00:00.000000000
2441,27 days 00:00:00.000000000
2442,3 days 00:00:00.000000000
2443,35 days 00:00:00.000000000
2444,35 days 00:00:00.000000000
2445,64 days 00:00:00.000000000
2446,1 days 00:00:00.000000000
2447,11 days 00:00:00.000000000
2448,35 days 00:00:00.000000000
2449,35 days 00:00:00.000000000
2450,30 days 00:00:00.000000000
2451,1 days 00:00:00.000000000
2452,35 days 00:00:00.000000000
2453,35 days 00:00:00.000000000
2454,35 days 00:00:00.000000000
2455,61 days 00:00:00.000000000
2456,33 days 00:00:00.000000000
2457,9 days 00:00:00.000000000
2458,1 days 00:00:00.000000000
2459,7 days 00:00:00.000000000
2460,7 days 00:00:00.000000000
2461,7 days 00:00:00.000000000
2462,3 days 00:00:00.000000000
2463,32 days 00:00:00.000000000
2464,7 days 00:00:00.000000000
2465,1 days 00:00:00.000000000
2466,31 days 00:00:00.000000000
2467,27 days 00:00:00.000000000
2468,1 days 00:00:00.000000000
2469,11 days 00:00:00.000000000
2470,11 days 00:00:00.000000000
2471,12 days 00:00:00.000000000
2472,12 days 00:00:00.000000000
2473,12 days 00:00:00.000000000
2474,3 days 00:00:00.000000000
2475,13 days 00:00:00.000000000
2476,34 days 00:00:00.000000000
2477,10 days 00:00:00.000000000
2478,10 days 00:00:00.000000000
2479,31 days 00:00:00.000000000
2480,14 days 00:00:00.000000000
2481,1 days 00:00:00.000000000
2482,40 days 00:00:00.000000000
2483,1 days 00:00:00.000000000
2484,5 days 00:00:00.000000000
2485,7 days 00:00:00.000000000
2486,7 days 00:00:00.000000000
2487,7 days 00:00:00.000000000
2488,9 days 00:00:00.000000000
2489,31 days 00:00:00.000000000
2490,9 days 00:00:00.000000000
2491,8 days 00:00:00.000000000
2492,29 days 00:00:00.000000000
2493,89 days 00:00:00.000000000
2494,1 days 00:00:00.000000000
2495,33 days 00:00:00.000000000
2496,33 days 00:00:00.000000000
2497,33 days 00:00:00.000000000
2498,7 days 00:00:00.000000000
2499,7 days 00:00:00.000000000
2500,7 days 00:00:00.000000000
2501,3 days 00:00:00.000000000
2502,31 days 00:00:00.000000000
2503,35 days 00:00:00.000000000
2504,35 days 00:00:00.000000000
2505,32 days 00:00:00.000000000
2506,91 days 00:00:00.000000000
2507,91 days 00:00:00.000000000
2508,38 days 00:00:00.000000000
2509,35 days 00:00:00.000000000
2510,1 days 00:00:00.000000000
2511,1 days 00:00:00.000000000
2512,33 days 00:00:00.000000000
2513,8 days 00:00:00.000000000
2514,8 days 00:00:00.000000000
2515,8 days 00:00:00.000000000
2516,8 days 00:00:00.000000000
2517,32 days 00:00:00.000000000
2518,32 days 00:00:00.000000000
2519,32 days 00:00:00.000000000
2520,91 days 00:00:00.000000000
2521,32 days 00:00:00.000000000
2522,32 days 00:00:00.000000000
2523,8 days 00:00:00.000000000
2524,34 days 00:00:00.000000000
2525,32 days 00:00:00.000000000
2526,31 days 00:00:00.000000000
2527,30 days 00:00:00.000000000
2528,35 days 00:00:00.000000000
2529,35 days 00:00:00.000000000
2530,6 days 00:00:00.000000000
2531,6 days 00:00:00.000000000
2532,7 days 00:00:00.000000000
2533,7 days 00:00:00.000000000
2534,7 days 00:00:00.000000000
2535,94 days 00:00:00.000000000
2536,94 days 00:00:00.000000000
2537,24 days 00:00:00.000000000
2538,17 days 00:00:00.000000000
2539,28 days 00:00:00.000000000
2540,7 days 00:00:00.000000000
2541,7 days 00:00:00.000000000
2542,7 days 00:00:00.000000000
2543,28 days 00:00:00.000000000
2544,28 days 00:00:00.000000000
2545,94 days 00:00:00.000000000
2546,10 days 00:00:00.000000000
2547,10 days 00:00:00.000000000
2548,31 days 00:00:00.000000000
2549,31 days 00:00:00.000000000
2550,8 days 00:00:00.000000000
2551,29 days 00:00:00.000000000
2552,8 days 00:00:00.000000000
2553,8 days 00:00:00.000000000
2554,29 days 00:00:00.000000000
2555,31 days 00:00:00.000000000
2556,8 days 00:00:00.000000000
2557,8 days 00:00:00.000000000
2558,33 days 00:00:00.000000000
2559,12 days 00:00:00.000000000
2560,12 days 00:00:00.000000000
2561,35 days 00:00:00.000000000
2562,34 days 00:00:00.000000000
2563,94 days 00:00:00.000000000
2564,46 days 00:00:00.000000000
2565,11 days 00:00:00.000000000
2566,11 days 00:00:00.000000000
2567,32 days 00:00:00.000000000
2568,10 days 00:00:00.000000000
2569,33 days 00:00:00.000000000
2570,66 days 00:00:00.000000000
2571,33 days 00:00:00.000000000
2572,28 days 00:00:00.000000000
2573,28 days 00:00:00.000000000
2574,29 days 00:00:00.000000000
2575,30 days 00:00:00.000000000
2576,7 days 00:00:00.000000000
2577,7 days 00:00:00.000000000
2578,33 days 00:00:00.000000000
2579,36 days 00:00:00.000000000
2580,36 days 00:00:00.000000000
2581,36 days 00:00:00.000000000
2582,33 days 00:00:00.000000000
2583,33 days 00:00:00.000000000
2584,33 days 00:00:00.000000000
2585,9 days 00:00:00.000000000
2586,33 days 00:00:00.000000000
2587,4 days 00:00:00.000000000
2588,4 days 00:00:00.000000000
2589,2 days 00:00:00.000000000
2590,2 days 00:00:00.000000000
2591,28 days 00:00:00.000000000
2592,28 days 00:00:00.000000000
2593,28 days 00:00:00.000000000
2594,28 days 00:00:00.000000000
2595,31 days 00:00:00.000000000
2596,29 days 00:00:00.000000000
2597,29 days 00:00:00.000000000
2598,34 days 00:00:00.000000000
2599,3 days 00:00:00.000000000
2600,9 days 00:00:00.000000000
2601,27 days 00:00:00.000000000
2602,27 days 00:00:00.000000000
2603,34 days 00:00:00.000000000
2604,34 days 00:00:00.000000000
2605,34 days 00:00:00.000000000
2606,32 days 00:00:00.000000000
2607,8 days 00:00:00.000000000
2608,5 days 00:00:00.000000000
2609,26 days 00:00:00.000000000
2610,26 days 00:00:00.000000000
2611,12 days 00:00:00.000000000
2612,14 days 00:00:00.000000000
2613,8 days 00:00:00.000000000
2614,8 days 00:00:00.000000000
2615,32 days 00:00:00.000000000
2616,36 days 00:00:00.000000000
2617,18 days 00:00:00.000000000
2618,7 days 00:00:00.000000000
2619,11 days 00:00:00.000000000
2620,34 days 00:00:00.000000000
2621,8 days 00:00:00.000000000
2622,8 days 00:00:00.000000000
2623,15 days 00:00:00.000000000
2624,29 days 00:00:00.000000000
2625,10 days 00:00:00.000000000
2626,34 days 00:00:00.000000000
2627,33 days 00:00:00.000000000
2628,7 days 00:00:00.000000000
2629,7 days 00:00:00.000000000
2630,26 days 00:00:00.000000000
2631,7 days 00:00:00.000000000
2632,7 days 00:00:00.000000000
2633,28 days 00:00:00.000000000
2634,34 days 00:00:00.000000000
2635,10 days 00:00:00.000000000
2636,7 days 00:00:00.000000000
2637,29 days 00:00:00.000000000
2638,31 days 00:00:00.000000000
2639,31 days 00:00:00.000000000
2640,35 days 00:00:00.000000000
2641,36 days 00:00:00.000000000
2642,31 days 00:00:00.000000000
2643,31 days 00:00:00.000000000
2644,-130 days +00:00:00.000000000
2645,-130 days +00:00:00.000000000
2646,-102 days +00:00:00.000000000
2647,-102 days +00:00:00.000000000
2648,-67 days +00:00:00.000000000
2649,-64 days +00:00:00.000000000
2650,34 days 00:00:00.000000000
2651,34 days 00:00:00.000000000
2652,-95 days +00:00:00.000000000
2653,-39 days +00:00:00.000000000
2654,-29 days +00:00:00.000000000
2655,-29 days +00:00:00.000000000
2656,-95 days +00:00:00.000000000
2657,-34 days +00:00:00.000000000
2658,-64 days +00:00:00.000000000
2659,-8 days +00:00:00.000000000
2660,-8 days +00:00:00.000000000
2661,-8 days +00:00:00.000000000
2662,-64 days +00:00:00.000000000
2663,-60 days +00:00:00.000000000
2664,0 days 00:00:00.000000000
2665,0 days 00:00:00.000000000
2666,0 days 00:00:00.000000000
2667,-85 days +00:00:00.000000000
2668,6 days 00:00:00.000000000
2669,19 days 00:00:00.000000000
2670,19 days 00:00:00.000000000
2671,5 days 00:00:00.000000000
2672,-1 days +00:00:00.000000000
2673,-1 days +00:00:00.000000000
2674,-1 days +00:00:00.000000000
2675,-13 days +00:00:00.000000000
2676,-30 days +00:00:00.000000000
2677,26 days 00:00:00.000000000
2678,26 days 00:00:00.000000000
2679,34 days 00:00:00.000000000
2680,-44 days +00:00:00.000000000
2681,-58 days +00:00:00.000000000
2682,-44 days +00:00:00.000000000
2683,-44 days +00:00:00.000000000
2684,-71 days +00:00:00.000000000
2685,22 days 00:00:00.000000000
2686,29 days 00:00:00.000000000
2687,-58 days +00:00:00.000000000
2688,-58 days +00:00:00.000000000
2689,-44 days +00:00:00.000000000
2690,-6 days +00:00:00.000000000
2691,-30 days +00:00:00.000000000
2692,-30 days +00:00:00.000000000
2693,-30 days +00:00:00.000000000
2694,-28 days +00:00:00.000000000
2695,-28 days +00:00:00.000000000
2696,26 days 00:00:00.000000000
2697,-37 days +00:00:00.000000000
2698,-89 days +00:00:00.000000000
2699,-1 days +00:00:00.000000000
2700,5 days 00:00:00.000000000
2701,19 days 00:00:00.000000000
2702,19 days 00:00:00.000000000
2703,26 days 00:00:00.000000000
2704,29 days 00:00:00.000000000
2705,-93 days +00:00:00.000000000
2706,-62 days +00:00:00.000000000
2707,-5 days +00:00:00.000000000
2708,21 days 00:00:00.000000000
2709,32 days 00:00:00.000000000
2710,32 days 00:00:00.000000000
2711,31 days 00:00:00.000000000
2712,7 days 00:00:00.000000000
2713,7 days 00:00:00.000000000
2714,7 days 00:00:00.000000000
2715,4 days 00:00:00.000000000
2716,29 days 00:00:00.000000000
2717,29 days 00:00:00.000000000
2718,30 days 00:00:00.000000000
2719,3 days 00:00:00.000000000
2720,33 days 00:00:00.000000000
2721,25 days 00:00:00.000000000
2722,4 days 00:00:00.000000000
2723,4 days 00:00:00.000000000
2724,4 days 00:00:00.000000000
2725,21 days 00:00:00.000000000
2726,8 days 00:00:00.000000000
2727,8 days 00:00:00.000000000
2728,8 days 00:00:00.000000000
2729,4 days 00:00:00.000000000
2730,4 days 00:00:00.000000000
2731,2 days 00:00:00.000000000
2732,12 days 00:00:00.000000000
2733,9 days 00:00:00.000000000
2734,2 days 00:00:00.000000000
2735,10 days 00:00:00.000000000
2736,5 days 00:00:00.000000000
2737,5 days 00:00:00.000000000
2738,14 days 00:00:00.000000000
2739,14 days 00:00:00.000000000
2740,96 days 00:00:00.000000000
2741,11 days 00:00:00.000000000
2742,11 days 00:00:00.000000000
2743,11 days 00:00:00.000000000
2744,12 days 00:00:00.000000000
2745,28 days 00:00:00.000000000
2746,28 days 00:00:00.000000000
2747,31 days 00:00:00.000000000
2748,31 days 00:00:00.000000000
2749,31 days 00:00:00.000000000
2750,3 days 00:00:00.000000000
2751,32 days 00:00:00.000000000
2752,96 days 00:00:00.000000000
2753,64 days 00:00:00.000000000
2754,5 days 00:00:00.000000000
2755,8 days 00:00:00.000000000
2756,8 days 00:00:00.000000000
2757,11 days 00:00:00.000000000
2758,32 days 00:00:00.000000000
2759,31 days 00:00:00.000000000
2760,61 days 00:00:00.000000000
2761,95 days 00:00:00.000000000
2762,33 days 00:00:00.000000000
2763,12 days 00:00:00.000000000
2764,35 days 00:00:00.000000000
2765,31 days 00:00:00.000000000
2766,61 days 00:00:00.000000000
2767,11 days 00:00:00.000000000
2768,4 days 00:00:00.000000000
2769,4 days 00:00:00.000000000
2770,9 days 00:00:00.000000000
2771,9 days 00:00:00.000000000
2772,31 days 00:00:00.000000000
2773,93 days 00:00:00.000000000
2774,8 days 00:00:00.000000000
2775,32 days 00:00:00.000000000
2776,32 days 00:00:00.000000000
2777,1 days 00:00:00.000000000
2778,93 days 00:00:00.000000000
2779,91 days 00:00:00.000000000
2780,31 days 00:00:00.000000000
2781,31 days 00:00:00.000000000
2782,27 days 00:00:00.000000000
2783,33 days 00:00:00.000000000
2784,33 days 00:00:00.000000000
2785,12 days 00:00:00.000000000
2786,33 days 00:00:00.000000000
2787,32 days 00:00:00.000000000
2788,32 days 00:00:00.000000000
2789,27 days 00:00:00.000000000
2790,18 days 00:00:00.000000000
2791,18 days 00:00:00.000000000
2792,18 days 00:00:00.000000000
2793,18 days 00:00:00.000000000
2794,12 days 00:00:00.000000000
2795,35 days 00:00:00.000000000
2796,32 days 00:00:00.000000000
2797,7 days 00:00:00.000000000
2798,7 days 00:00:00.000000000
2799,33 days 00:00:00.000000000
2800,11 days 00:00:00.000000000
2801,28 days 00:00:00.000000000
2802,28 days 00:00:00.000000000
2803,28 days 00:00:00.000000000
2804,28 days 00:00:00.000000000
2805,21 days 00:00:00.000000000
2806,18 days 00:00:00.000000000
2807,26 days 00:00:00.000000000
2808,32 days 00:00:00.000000000
2809,32 days 00:00:00.000000000
2810,9 days 00:00:00.000000000
2811,9 days 00:00:00.000000000
2812,8 days 00:00:00.000000000
2813,8 days 00:00:00.000000000
2814,8 days 00:00:00.000000000
2815,8 days 00:00:00.000000000
2816,29 days 00:00:00.000000000
2817,29 days 00:00:00.000000000
2818,21 days 00:00:00.000000000
2819,18 days 00:00:00.000000000
2820,18 days 00:00:00.000000000
2821,19 days 00:00:00.000000000
2822,26 days 00:00:00.000000000
2823,26 days 00:00:00.000000000
2824,60 days 00:00:00.000000000
2825,8 days 00:00:00.000000000
2826,8 days 00:00:00.000000000
2827,5 days 00:00:00.000000000
2828,95 days 00:00:00.000000000
2829,32 days 00:00:00.000000000
2830,32 days 00:00:00.000000000
2831,31 days 00:00:00.000000000
2832,9 days 00:00:00.000000000
2833,4 days 00:00:00.000000000
2834,4 days 00:00:00.000000000
2835,8 days 00:00:00.000000000
2836,8 days 00:00:00.000000000
2837,8 days 00:00:00.000000000
2838,31 days 00:00:00.000000000
2839,31 days 00:00:00.000000000
2840,8 days 00:00:00.000000000
2841,8 days 00:00:00.000000000
2842,29 days 00:00:00.000000000
2843,5 days 00:00:00.000000000
2844,10 days 00:00:00.000000000
2845,10 days 00:00:00.000000000
2846,4 days 00:00:00.000000000
2847,31 days 00:00:00.000000000
2848,31 days 00:00:00.000000000
2849,31 days 00:00:00.000000000
2850,31 days 00:00:00.000000000
2851,31 days 00:00:00.000000000
2852,38 days 00:00:00.000000000
2853,9 days 00:00:00.000000000
2854,9 days 00:00:00.000000000
2855,8 days 00:00:00.000000000
2856,33 days 00:00:00.000000000
2857,33 days 00:00:00.000000000
2858,34 days 00:00:00.000000000
2859,34 days 00:00:00.000000000
2860,34 days 00:00:00.000000000
2861,8 days 00:00:00.000000000
2862,8 days 00:00:00.000000000
2863,8 days 00:00:00.000000000
2864,29 days 00:00:00.000000000
2865,33 days 00:00:00.000000000
2866,28 days 00:00:00.000000000
2867,32 days 00:00:00.000000000
2868,32 days 00:00:00.000000000
2869,10 days 00:00:00.000000000
2870,32 days 00:00:00.000000000
2871,29 days 00:00:00.000000000
2872,29 days 00:00:00.000000000
2873,31 days 00:00:00.000000000
2874,30 days 00:00:00.000000000
2875,9 days 00:00:00.000000000
2876,35 days 00:00:00.000000000
2877,10 days 00:00:00.000000000
2878,30 days 00:00:00.000000000
2879,9 days 00:00:00.000000000
2880,34 days 00:00:00.000000000
2881,32 days 00:00:00.000000000
2882,32 days 00:00:00.000000000
2883,32 days 00:00:00.000000000
2884,34 days 00:00:00.000000000
2885,35 days 00:00:00.000000000
2886,8 days 00:00:00.000000000
2887,33 days 00:00:00.000000000
2888,33 days 00:00:00.000000000
2889,35 days 00:00:00.000000000
2890,35 days 00:00:00.000000000
2891,32 days 00:00:00.000000000
2892,62 days 00:00:00.000000000
2893,35 days 00:00:00.000000000
2894,30 days 00:00:00.000000000
2895,30 days 00:00:00.000000000
2896,31 days 00:00:00.000000000
2897,31 days 00:00:00.000000000
2898,31 days 00:00:00.000000000
2899,31 days 00:00:00.000000000
2900,31 days 00:00:00.000000000
2901,62 days 00:00:00.000000000
2902,29 days 00:00:00.000000000
2903,30 days 00:00:00.000000000
2904,65 days 00:00:00.000000000
2905,9 days 00:00:00.000000000
2906,9 days 00:00:00.000000000
2907,32 days 00:00:00.000000000
2908,32 days 00:00:00.000000000
2909,8 days 00:00:00.000000000
2910,5 days 00:00:00.000000000
2911,32 days 00:00:00.000000000
2912,13 days 00:00:00.000000000
2913,34 days 00:00:00.000000000
2914,34 days 00:00:00.000000000
2915,94 days 00:00:00.000000000
2916,33 days 00:00:00.000000000
2917,33 days 00:00:00.000000000
2918,33 days 00:00:00.000000000
2919,8 days 00:00:00.000000000
2920,12 days 00:00:00.000000000
2921,34 days 00:00:00.000000000
2922,13 days 00:00:00.000000000
2923,12 days 00:00:00.000000000
2924,12 days 00:00:00.000000000
2925,8 days 00:00:00.000000000
2926,8 days 00:00:00.000000000
2927,34 days 00:00:00.000000000
2928,12 days 00:00:00.000000000
2929,40 days 00:00:00.000000000
2930,32 days 00:00:00.000000000
2931,32 days 00:00:00.000000000
2932,32 days 00:00:00.000000000
2933,32 days 00:00:00.000000000
2934,32 days 00:00:00.000000000
2935,34 days 00:00:00.000000000
2936,34 days 00:00:00.000000000
2937,11 days 00:00:00.000000000
2938,11 days 00:00:00.000000000
2939,33 days 00:00:00.000000000
2940,31 days 00:00:00.000000000
2941,31 days 00:00:00.000000000
2942,28 days 00:00:00.000000000
2943,62 days 00:00:00.000000000
2944,30 days 00:00:00.000000000
2945,34 days 00:00:00.000000000
2946,7 days 00:00:00.000000000
2947,7 days 00:00:00.000000000
2948,7 days 00:00:00.000000000
2949,7 days 00:00:00.000000000
2950,95 days 00:00:00.000000000
2951,35 days 00:00:00.000000000
2952,34 days 00:00:00.000000000
2953,34 days 00:00:00.000000000
2954,34 days 00:00:00.000000000
2955,24 days 00:00:00.000000000
2956,10 days 00:00:00.000000000
2957,29 days 00:00:00.000000000
2958,29 days 00:00:00.000000000
2959,29 days 00:00:00.000000000
2960,29 days 00:00:00.000000000
2961,29 days 00:00:00.000000000
2962,31 days 00:00:00.000000000
2963,31 days 00:00:00.000000000
2964,8 days 00:00:00.000000000
2965,8 days 00:00:00.000000000
2966,31 days 00:00:00.000000000
2967,97 days 00:00:00.000000000
2968,30 days 00:00:00.000000000
2969,30 days 00:00:00.000000000
2970,30 days 00:00:00.000000000
2971,30 days 00:00:00.000000000
2972,30 days 00:00:00.000000000
2973,34 days 00:00:00.000000000
2974,33 days 00:00:00.000000000
2975,33 days 00:00:00.000000000
2976,12 days 00:00:00.000000000
2977,12 days 00:00:00.000000000
2978,34 days 00:00:00.000000000
2979,6 days 00:00:00.000000000
2980,33 days 00:00:00.000000000
2981,33 days 00:00:00.000000000
2982,31 days 00:00:00.000000000
2983,31 days 00:00:00.000000000
2984,31 days 00:00:00.000000000
2985,31 days 00:00:00.000000000
2986,31 days 00:00:00.000000000
2987,88 days 00:00:00.000000000
2988,32 days 00:00:00.000000000
2989,29 days 00:00:00.000000000
2990,29 days 00:00:00.000000000
2991,8 days 00:00:00.000000000
2992,24 days 00:00:00.000000000
2993,34 days 00:00:00.000000000
2994,34 days 00:00:00.000000000
2995,3 days 00:00:00.000000000
2996,89 days 00:00:00.000000000
2997,33 days 00:00:00.000000000
2998,33 days 00:00:00.000000000
2999,5 days 00:00:00.000000000
3000,8 days 00:00:00.000000000
3001,8 days 00:00:00.000000000
3002,10 days 00:00:00.000000000
3003,32 days 00:00:00.000000000
3004,30 days 00:00:00.000000000
3005,32 days 00:00:00.000000000
3006,41 days 00:00:00.000000000
3007,13 days 00:00:00.000000000
3008,8 days 00:00:00.000000000
3009,8 days 00:00:00.000000000
3010,8 days 00:00:00.000000000
3011,15 days 00:00:00.000000000
3012,9 days 00:00:00.000000000
3013,29 days 00:00:00.000000000
3014,29 days 00:00:00.000000000
3015,29 days 00:00:00.000000000
3016,29 days 00:00:00.000000000
3017,10 days 00:00:00.000000000
3018,97 days 00:00:00.000000000
3019,93 days 00:00:00.000000000
3020,33 days 00:00:00.000000000
3021,8 days 00:00:00.000000000
3022,34 days 00:00:00.000000000
3023,34 days 00:00:00.000000000
3024,34 days 00:00:00.000000000
3025,8 days 00:00:00.000000000
3026,8 days 00:00:00.000000000
3027,33 days 00:00:00.000000000
3028,4 days 00:00:00.000000000
3029,31 days 00:00:00.000000000
3030,31 days 00:00:00.000000000
3031,31 days 00:00:00.000000000
3032,96 days 00:00:00.000000000
3033,32 days 00:00:00.000000000
3034,33 days 00:00:00.000000000
3035,94 days 00:00:00.000000000
3036,31 days 00:00:00.000000000
3037,31 days 00:00:00.000000000
3038,31 days 00:00:00.000000000
3039,31 days 00:00:00.000000000
3040,31 days 00:00:00.000000000
3041,31 days 00:00:00.000000000
3042,35 days 00:00:00.000000000
3043,93 days 00:00:00.000000000
3044,33 days 00:00:00.000000000
3045,93 days 00:00:00.000000000
3046,34 days 00:00:00.000000000
3047,91 days 00:00:00.000000000
3048,36 days 00:00:00.000000000
3049,34 days 00:00:00.000000000
3050,8 days 00:00:00.000000000
3051,34 days 00:00:00.000000000
3052,31 days 00:00:00.000000000
3053,8 days 00:00:00.000000000
3054,8 days 00:00:00.000000000
3055,34 days 00:00:00.000000000
3056,95 days 00:00:00.000000000
3057,15 days 00:00:00.000000000
3058,31 days 00:00:00.000000000
3059,30 days 00:00:00.000000000
3060,30 days 00:00:00.000000000
3061,30 days 00:00:00.000000000
3062,30 days 00:00:00.000000000
3063,31 days 00:00:00.000000000
3064,31 days 00:00:00.000000000
3065,31 days 00:00:00.000000000
3066,35 days 00:00:00.000000000
3067,17 days 00:00:00.000000000
3068,31 days 00:00:00.000000000
3069,31 days 00:00:00.000000000
3070,31 days 00:00:00.000000000
3071,7 days 00:00:00.000000000
3072,33 days 00:00:00.000000000
3073,32 days 00:00:00.000000000
3074,8 days 00:00:00.000000000
3075,8 days 00:00:00.000000000
3076,8 days 00:00:00.000000000
3077,15 days 00:00:00.000000000
3078,31 days 00:00:00.000000000
3079,91 days 00:00:00.000000000
3080,31 days 00:00:00.000000000
3081,8 days 00:00:00.000000000
3082,8 days 00:00:00.000000000
3083,8 days 00:00:00.000000000
3084,34 days 00:00:00.000000000
3085,33 days 00:00:00.000000000
3086,7 days 00:00:00.000000000
3087,30 days 00:00:00.000000000
3088,30 days 00:00:00.000000000
3089,30 days 00:00:00.000000000
3090,30 days 00:00:00.000000000
3091,30 days 00:00:00.000000000
3092,18 days 00:00:00.000000000
3093,29 days 00:00:00.000000000
3094,11 days 00:00:00.000000000
3095,1 days 00:00:00.000000000
3096,1 days 00:00:00.000000000
3097,1 days 00:00:00.000000000
3098,1 days 00:00:00.000000000
3099,25 days 00:00:00.000000000
3100,25 days 00:00:00.000000000
3101,32 days 00:00:00.000000000
3102,7 days 00:00:00.000000000
3103,28 days 00:00:00.000000000
3104,32 days 00:00:00.000000000
3105,32 days 00:00:00.000000000
3106,10 days 00:00:00.000000000
3107,29 days 00:00:00.000000000
3108,31 days 00:00:00.000000000
3109,30 days 00:00:00.000000000
3110,30 days 00:00:00.000000000
3111,64 days 00:00:00.000000000
3112,91 days 00:00:00.000000000
3113,35 days 00:00:00.000000000
3114,30 days 00:00:00.000000000
3115,62 days 00:00:00.000000000
3116,9 days 00:00:00.000000000
3117,35 days 00:00:00.000000000
3118,31 days 00:00:00.000000000
3119,31 days 00:00:00.000000000
3120,31 days 00:00:00.000000000
3121,31 days 00:00:00.000000000
3122,32 days 00:00:00.000000000
3123,89 days 00:00:00.000000000
3124,30 days 00:00:00.000000000
3125,30 days 00:00:00.000000000
3126,7 days 00:00:00.000000000
3127,18 days 00:00:00.000000000
3128,94 days 00:00:00.000000000
3129,10 days 00:00:00.000000000
3130,30 days 00:00:00.000000000
3131,30 days 00:00:00.000000000
3132,29 days 00:00:00.000000000
3133,32 days 00:00:00.000000000
3134,30 days 00:00:00.000000000
3135,30 days 00:00:00.000000000
3136,28 days 00:00:00.000000000
3137,7 days 00:00:00.000000000
3138,92 days 00:00:00.000000000
3139,29 days 00:00:00.000000000
3140,29 days 00:00:00.000000000
3141,33 days 00:00:00.000000000
3142,33 days 00:00:00.000000000
3143,62 days 00:00:00.000000000
3144,30 days 00:00:00.000000000
3145,32 days 00:00:00.000000000
3146,11 days 00:00:00.000000000
3147,15 days 00:00:00.000000000
3148,31 days 00:00:00.000000000
3149,31 days 00:00:00.000000000
3150,31 days 00:00:00.000000000
3151,11 days 00:00:00.000000000
3152,31 days 00:00:00.000000000
3153,91 days 00:00:00.000000000
3154,11 days 00:00:00.000000000
3155,3 days 00:00:00.000000000
3156,9 days 00:00:00.000000000
3157,9 days 00:00:00.000000000
3158,42 days 00:00:00.000000000
3159,34 days 00:00:00.000000000
